no,name,line,trans,x,y,coporation,juso
1,대림,서울 도시철도 2호선,일반역,37.49307207,126.8957105,서울교통공사,서울 구로구 구로6동 125-66
2,구룡역,분당선,일반역,37.486985,127.059496,한국철도공사,서울시 강남구 개포동 175번지
3,개포동역,분당선,일반역,37.489112,127.066027,한국철도공사,서울시 강남구 개포동 지하 420(개포동)
4,수서역,분당선,환승역,37.487633,127.101118,한국철도공사,서울시 강남구 광평로 지하 270(수서동)
5,도곡역,분당선,환승역,37.490914,127.055393,한국철도공사,서울시 강남구 남부순환로 지하 2814
6,한티역,분당선,일반역,37.496208,127.052883,한국철도공사,서울시 강남구 선릉로 지하 228
7,선정릉역,분당선,환승역,37.510275,127.043817,한국철도공사,서울시 강남구 선릉로 지하 580(삼성동)
8,압구정로데오역,분당선,일반역,37.527385,127.040555,한국철도공사,서울시 강남구 압구정동 495(강남구 압구정로 지하 402)
9,대모산입구역,분당선,일반역,37.491347,127.072702,한국철도공사,서울시 강남구 일원동 611번지
10,선릉역,분당선,환승역,37.504479,127.048941,한국철도공사,서울시 강남구 테헤란로 지하 340
11,강남구청역,분당선,환승역,37.517172,127.041275,한국철도공사,서울시 강남구 학동로 지하 364
12,오류동역,경인선,일반역,37.4944,126.844551,한국철도공사,서울시 구로구 경인로 20길 13
13,개봉역,경인선,일반역,37.494698,126.858504,한국철도공사,서울시 구로구 경인로 40길 47
14,구로역,경부선,환승역,37.503178,126.882037,한국철도공사,서울시 구로구 구로중앙로 174
15,구일역,경인선,일반역,37.496273,126.869599,한국철도공사,서울시 구로구 구일로 133
16,온수역,경인선,환승역,37.492267,126.823399,한국철도공사,서울시 구로구 부일로 872
17,신도림역,경부선,환승역,37.508983,126.891513,한국철도공사,서울시 구로구 새말로 117-21
18,독산역,경부선,일반역,37.465994,126.889508,한국철도공사,서울시 금천구 벚꽃로 115
19,가산디지털단지역,경부선,환승역,37.481568,126.882628,한국철도공사,서울시 금천구 벚꽃로 309
20,금천구청역,경부선,환승역,37.45576,126.894344,한국철도공사,서울시 금천구 시흥대로 63길 91
21,광운대역,경원선,환승역,37.623635,127.061975,한국철도공사,서울시 노원구 석계로 98-2(광운대역)
22,월계역,경원선,일반역,37.633114,127.058835,한국철도공사,서울시 노원구 월계로 53길 40(월계2동 261)
23,석계역,경원선,환승역,37.615206,127.065594,한국철도공사,서울시 노원구 화랑로 314(월계동 36-4)
24,녹천역,경원선,일반역,37.644599,127.051406,한국철도공사,서울시 도봉구 덕릉로 376(창동)
25,방학역,경원선,일반역,37.667471,127.044295,한국철도공사,서울시 도봉구 도봉로 150다길 3
26,도봉역,경원선,일반역,37.679441,127.045521,한국철도공사,서울시 도봉구 도봉로 170길 2
27,도봉산역,경원선,환승역,37.689603,127.046347,한국철도공사,서울시 도봉구 도봉로 964-33
28,창동역,경원선,환승역,37.653181,127.047663,한국철도공사,서울시 도봉구 마들로 11길 77(창1동 135-86)
29,청량리역,경의중앙선,환승역,37.580543,127.046516,한국철도공사,서울시 동대문구 왕산로 214
30,신이문역,경원선,일반역,37.601829,127.067347,한국철도공사,서울시 동대문구 한천로 472(이문로 7)
31,회기역,경원선,환승역,37.589802,127.057936,한국철도공사,서울시 동대문구 회기로196(휘경동 317-101)
32,외대앞역,경원선,일반역,37.596157,127.063572,한국철도공사,서울시 동대문구 휘경로 27(이문동 360-5)
33,노량진역,경부선,환승역,37.514072,126.941671,한국철도공사,서울시 동작구 노량진로 151
34,공덕역,경의중앙선,환승역,37.542611,126.952134,한국철도공사,서울시 마포구 공덕동 마포대로 자하100
35,서강대역,경의중앙선,일반역,37.552132,126.935389,한국철도공사,서울시 마포구 서강로 지하118
36,홍대입구역,경의중앙선,환승역,37.55808,126.925533,한국철도공사,서울시 마포구 양화로 지하 188
37,가좌역,경의중앙선,환승역,37.568611,126.914841,한국철도공사,서울시 서대문구 수색로 27(남가좌동)
38,응봉역,경의중앙선,일반역,37.550433,127.034824,한국철도공사,서울시 성동구 고산자로 123(응봉동)
39,옥수역,경의중앙선,환승역,37.540514,127.018698,한국철도공사,서울시 성동구 동호로 지하21(옥수동)
40,왕십리역,경의중앙선,환승역,37.561128,127.035505,한국철도공사,서울시 성동구 왕십리 광장로 17(행당동)
41,서울숲역,분당선,일반역,37.543647,127.044686,한국철도공사,서울시 성동구 왕십리로 지하 77
42,영등포역,경부선,일반역,37.515756,126.907411,한국철도공사,서울시 영등포구 경인로 846(영등포동 1가 618-496)
43,대방역,경부선,일반역,37.513392,126.926407,한국철도공사,서울시 영등포구 여의대방로 300
44,신길역,경부선,환승역,37.517018,126.917743,한국철도공사,서울시 영등포구 영등포로 327
45,한남역,경의중앙선,일반역,37.529361,127.008984,한국철도공사,서울시 용산구 독서당로6길 12-13(한남동)
46,서빙고역,경의중앙선,일반역,37.51961,126.988358,한국철도공사,서울시 용산구 서빙고로 238(서빙고동 241-11)
47,효창공원앞역,경의중앙선,환승역,37.539289,126.961339,한국철도공사,서울시 용산구 용문동 5-133
48,이촌역,경의중앙선,환승역,37.522476,126.973816,한국철도공사,서울시 용산구 이촌로 71길 42
49,용산역,경부선,환승역,37.52989,126.964775,한국철도공사,서울시 용산구 한강대로 23길 55(한강로 3가 40-999)
50,서울역(경의선),경의중앙선,환승역,37.554713,126.970787,한국철도공사,서울시 용산구 한강대로 405
51,남영역,경부선,일반역,37.540597,126.971171,한국철도공사,서울시 용산구 한강대로 77길 25(갈월동)
52,디지털미디어시티역,경의중앙선,환승역,37.577964,126.900421,한국철도공사,서울시 은평구 수색로 193(수색동 37-2)
53,수색역,경의중앙선,일반역,37.580855,126.895681,한국철도공사,서울시 은평구 수색로 261-1
54,신내역,경춘선,일반역,37.612855,127.103277,한국철도공사,서울시 중랑구 망우동 320
55,상봉역,경의중앙선,환승역,37.595254,127.085853,한국철도공사,서울시 중랑구 망우로 297(상봉1동 100-9번지)
56,망우역,경의중앙선,환승역,37.599288,127.092318,한국철도공사,서울시 중랑구 망우로 55길 11-10
57,양원역,경의중앙선,일반역,37.60682732,127.1080465,한국철도공사,서울시 중랑구 송림길 147(망우동)
58,강남,서울 도시철도 2호선,일반역,37.49720244,127.0280537,서울교통공사,서울특별시 강남구 강남대로 지하 396 (역삼동)
59,수서,서울 도시철도 3호선,일반역,37.48716257,127.101553,서울교통공사,서울특별시 강남구 광평로 지하 270 (수서동)
60,매봉,서울 도시철도 3호선,일반역,37.48684644,127.0467037,서울교통공사,서울특별시 강남구 남부순환로 지하 2744 (도곡동)
61,도곡,서울 도시철도 3호선,일반역,37.49082524,127.0553484,서울교통공사,서울특별시 강남구 남부순환로 지하 2814 (도곡동)
62,대치,서울 도시철도 3호선,일반역,37.4942795,127.0632665,서울교통공사,서울특별시 강남구 남부순환로 지하 2952 (대치동)
63,학여울,서울 도시철도 3호선,일반역,37.49655351,127.0713676,서울교통공사,서울특별시 강남구 남부순환로 지하 3104 (대치동)
64,신사,서울 도시철도 3호선,일반역,37.51618776,127.0203269,서울교통공사,서울특별시 강남구 도산대로 지하 102 (신사동)
65,압구정,서울 도시철도 3호선,일반역,37.52668639,127.0283697,서울교통공사,서울특별시 강남구 압구정로 지하 172 (신사동)
66,일원,서울 도시철도 3호선,일반역,37.48382242,127.0843143,서울교통공사,서울특별시 강남구 일원로 지하 121 (일원동)
67,대청,서울 도시철도 3호선,일반역,37.49346096,127.079515,서울교통공사,서울특별시 강남구 일원로 지하 2 (일원동)
68,역삼,서울 도시철도 2호선,일반역,37.50054496,127.0363944,서울교통공사,서울특별시 강남구 테헤란로 지하 156 (역삼동)
69,선릉,서울 도시철도 2호선,일반역,37.50437895,127.0486966,서울교통공사,서울특별시 강남구 테헤란로 지하 340 (삼성동)
70,삼성,서울 도시철도 2호선,일반역,37.5086936,127.063165,서울교통공사,서울특별시 강남구 테헤란로 지하 538 (삼성동)
71,논현,서울 도시철도 7호선,일반역,37.51118691,127.0212831,서울교통공사,서울특별시 강남구 학동로 지하102(논현동)
72,학동,서울 도시철도 7호선,일반역,37.51428621,127.0317362,서울교통공사,서울특별시 강남구 학동로 지하180(논현동)
73,강남구청,서울 도시철도 7호선,일반역,37.51714842,127.0411628,서울교통공사,서울특별시 강남구 학동로 지하346 (삼성동)
74,청담,서울 도시철도 7호선,일반역,37.5195959,127.0537514,서울교통공사,서울특별시 강남구 학동로 지하508 (청담동)
75,고덕,서울 도시철도 5호선,일반역,37.55503473,127.1540785,서울교통공사,서울특별시 강동구 고덕로 지하253 (고덕동)
76,상일동,서울 도시철도 5호선,일반역,37.55658759,127.1652632,서울교통공사,서울특별시 강동구 고덕로 지하359 (상일동)
77,둔촌동,서울 도시철도 5호선,일반역,37.52774726,127.136296,서울교통공사,서울특별시 강동구 양재대로 지하1369 (둔촌동)
78,길동,서울 도시철도 5호선,일반역,37.53794494,127.1400433,서울교통공사,서울특별시 강동구 양재대로 지하1480 (길동)
79,굽은다리,서울 도시철도 5호선,일반역,37.54537927,127.1428116,서울교통공사,서울특별시 강동구 양재대로 지하1572 (명일동)
80,명일,서울 도시철도 5호선,일반역,37.55149734,127.1439883,서울교통공사,서울특별시 강동구 양재대로 지하1632 (명일동)
81,강동구청,서울 도시철도 8호선,일반역,37.53047081,127.1202691,서울교통공사,서울특별시 강동구 올림픽로 지하550 (성내동)
82,암사,서울 도시철도 8호선,일반역,37.54997529,127.1274183,서울교통공사,서울특별시 강동구 올림픽로 지하776 (암사동)
83,강동,서울 도시철도 5호선,일반역,37.53587886,127.132079,서울교통공사,서울특별시 강동구 천호대로 지하1097 (천호동)
84,천호,서울 도시철도 5호선,일반역,37.53842355,127.1236234,서울교통공사,서울특별시 강동구 천호대로 지하997 (천호동)
85,천호,서울 도시철도 8호선,일반역,37.53842355,127.1236234,서울교통공사,서울특별시 강동구 천호대로 지하997 (천호동)
86,미아,서울 도시철도 4호선,일반역,37.62657144,127.0258287,서울교통공사,서울특별시 강북구 도봉로 지하 198 (미아동)
87,수유,서울 도시철도 4호선,일반역,37.63796529,127.0254433,서울교통공사,서울특별시 강북구 도봉로 지하 50 (미아동)
88,미아사거리,서울 도시철도 4호선,일반역,37.61325241,127.0298981,서울교통공사,서울특별시 강북구 도봉로 지하 50 (미아동)
89,우장산,서울 도시철도 5호선,일반역,37.54886035,126.8363531,서울교통공사,서울특별시 강서구 강서로 지하262 (화곡동)
90,까치산,서울 도시철도 2호선,일반역,37.53168373,126.8467432,서울교통공사,서울특별시 강서구 강서로 지하54(화곡동)
91,까치산,서울 도시철도 5호선,일반역,37.53168373,126.8467432,서울교통공사,서울특별시 강서구 강서로 지하54(화곡동)
92,마곡,서울 도시철도 5호선,일반역,37.56025035,126.8248665,서울교통공사,서울특별시 강서구 공항대로 지하163 (가양동)
93,발산,서울 도시철도 5호선,일반역,37.55848385,126.837456,서울교통공사,서울특별시 강서구 공항대로 지하267 (가양동)
94,송정,서울 도시철도 5호선,일반역,37.56115795,126.811792,서울교통공사,서울특별시 강서구 공항대로 지하33 (공항동)
95,방화,서울 도시철도 5호선,일반역,37.57729066,126.8127115,서울교통공사,서울특별시 강서구 금낭화로 지하132 (방화동)
96,개화산,서울 도시철도 5호선,일반역,37.57231242,126.8062885,서울교통공사,서울특별시 강서구 양천로 22(방화동)
97,김포공항,서울 도시철도 5호선,일반역,37.5622601,126.8014703,서울교통공사,서울특별시 강서구 하늘길 지하77 (방화동)
98,김포공항역,김포골드라인,환승역,37.562518,126.801713,김포골드라인운영㈜,서울특별시 강서구 하늘길77
99,화곡,서울 도시철도 5호선,일반역,37.54175707,126.8402952,서울교통공사,서울특별시 강서구 화곡로 지하168 (화곡동)
100,신림,서울 도시철도 2호선,일반역,37.48420085,126.9295937,서울교통공사,서울특별시 관악구 남부순환로 지하 1614 (신림동)
101,봉천,서울 도시철도 2호선,일반역,37.48245978,126.9418478,서울교통공사,서울특별시 관악구 남부순환로 지하 1721 (봉천동)
102,서울대입구,서울 도시철도 2호선,일반역,37.48103059,126.9526269,서울교통공사,서울특별시 관악구 남부순환로 지하 1822 (봉천동)
103,낙성대,서울 도시철도 2호선,일반역,37.47692607,126.9636002,서울교통공사,서울특별시 관악구 남부순환로 지하 1928 (봉천동)
104,강변,서울 도시철도 2호선,일반역,37.53487706,127.0946944,서울교통공사,서울특별시 광진구 강변역로 53 (구의동)
105,뚝섬유원지,서울 도시철도 7호선,일반역,37.53125616,127.0666673,서울교통공사,서울특별시 광진구 능동로 10 (자양동)
106,어린이대공원,서울 도시철도 7호선,일반역,37.54780394,127.0745637,서울교통공사,서울특별시 광진구 능동로 지하210(화양동)
107,중곡,서울 도시철도 7호선,일반역,37.56568111,127.0841504,서울교통공사,서울특별시 광진구 능동로 지하417 (중곡동)
108,건대입구,서울 도시철도 7호선,일반역,37.54060889,127.0698628,서울교통공사,서울특별시 광진구 능동로110(화양동6-3)
109,건대입구,서울 도시철도 2호선,일반역,37.54060889,127.0700628,서울교통공사,서울특별시 광진구 아차산로 243 (화양동)
110,구의,서울 도시철도 2호선,일반역,37.53691864,127.0857297,서울교통공사,서울특별시 광진구 아차산로 384-1 (구의동)
111,광나루,서울 도시철도 5호선,일반역,37.5450481,127.1035121,서울교통공사,서울특별시 광진구 아차산로 지하571 (광장동)
112,군자,서울 도시철도 5호선,일반역,37.55713392,127.079433,서울교통공사,서울특별시 광진구 천호대로 지하550
113,군자,서울 도시철도 7호선,일반역,37.55713392,127.079433,서울교통공사,서울특별시 광진구 천호대로 지하550
114,아차산,서울 도시철도 5호선,일반역,37.55203633,127.0896015,서울교통공사,서울특별시 광진구 천호대로 지하657
115,도림천,서울 도시철도 2호선,일반역,37.51420522,126.8827022,서울교통공사,서울특별시 구로구 경인로 67길 160 (신도림동)
116,온수,서울 도시철도 7호선,일반역,37.49215924,126.8237047,서울교통공사,서울특별시 구로구 경인로3길 지하64 (온수동)
117,남구로,서울 도시철도 7호선,일반역,37.48613283,126.8873355,서울교통공사,서울특별시 구로구 도림로 지하7(구로동)
118,구로디지털단지,서울 도시철도 2호선,일반역,37.48516215,126.9014847,서울교통공사,서울특별시 구로구 도림천로 477 (구로동)
119,신도림,서울 도시철도 2호선,일반역,37.50874994,126.8912511,서울교통공사,서울특별시 구로구 새말로 지하 117-21 (신도림동)
120,천왕,서울 도시철도 7호선,일반역,37.48661459,126.8386245,서울교통공사,서울특별시 구로구 오리로 지하1154(오류동)
121,가산디지털단지,서울 도시철도 7호선,일반역,37.48121776,126.8825816,서울교통공사,서울특별시 금천구 벚꽃로 309 (가산동)
122,공릉,서울 도시철도 7호선,일반역,37.62551321,127.0728236,서울교통공사,서울특별시 노원구 동일로 지하1074
123,하계,서울 도시철도 7호선,일반역,37.63642687,127.0678149,서울교통공사,서울특별시 노원구 동일로 지하1196(하계동)
124,중계,서울 도시철도 7호선,일반역,37.64521691,127.0640831,서울교통공사,서울특별시 노원구 동일로 지하1308-1 (중계동)
125,마들,서울 도시철도 7호선,일반역,37.66516233,127.0573337,서울교통공사,서울특별시 노원구 동일로 지하1530-1 (상계동)
126,수락산,서울 도시철도 7호선,일반역,37.67791554,127.0552343,서울교통공사,서울특별시 노원구 동일로 지하1662 (상계동)
127,태릉입구,서울 도시철도 6호선,일반역,37.61796533,127.0748937,서울교통공사,서울특별시 노원구 동일로 지하992-1 (공릉동)
128,태릉입구,서울 도시철도 7호선,일반역,37.61816533,127.0746937,서울교통공사,서울특별시 노원구 동일로 지하992-1 (공릉동)
129,상계,서울 도시철도 4호선,일반역,37.66090497,127.0731287,서울교통공사,서울특별시 노원구 상계로 182 (상계동)
130,당고개,서울 도시철도 4호선,일반역,37.67032572,127.0789555,서울교통공사,서울특별시 노원구 상계로 305 (상계동)
131,노원,서울 도시철도 4호선,일반역,37.6551493,127.0624948,서울교통공사,서울특별시 노원구 상계로 69-1 (상계동)
132,노원,서울 도시철도 7호선,일반역,37.65496036,127.0620053,서울교통공사,서울특별시 노원구 상계로 69-1 (상계동)
133,석계,서울 도시철도 6호선,일반역,37.61498323,127.0655612,서울교통공사,서울특별시 노원구 화랑로 지하347-1 (월계동)
134,화랑대,서울 도시철도 6호선,일반역,37.62013061,127.0844264,서울교통공사,서울특별시 노원구 화랑로 지하510
135,도봉산,서울 도시철도 7호선,일반역,37.68923188,127.0461005,서울교통공사,서울특별시 도봉구 도봉로 964-40 (도봉동)
136,쌍문,서울 도시철도 4호선,일반역,37.64853159,127.0345002,서울교통공사,서울특별시 도봉구 도봉로 지하 486-1 (창동)
137,창동,서울 도시철도 4호선,일반역,37.65312232,127.0476886,서울교통공사,서울특별시 도봉구 마들로 11길 77 (창동)
138,신설동,서울 도시철도 1호선,일반역,37.57528723,127.0249104,서울교통공사,서울특별시 동대문구 왕산로 지하 1 (신설동)
139,신설동,서울 도시철도 2호선,일반역,37.57519632,127.0248584,서울교통공사,서울특별시 동대문구 왕산로 지하 1 (신설동)
140,청량리,서울 도시철도 1호선,일반역,37.5801441,127.0457768,서울교통공사,서울특별시 동대문구 왕산로 지하 205(전농동)
141,제기동,서울 도시철도 1호선,일반역,37.57812027,127.0344966,서울교통공사,서울특별시 동대문구 왕산로 지하 93 (제기동)
142,용두,서울 도시철도 2호선,일반역,37.57389197,127.0379098,서울교통공사,서울특별시 동대문구 천호대로 지하 129
143,장한평,서울 도시철도 5호선,일반역,37.56153057,127.0642826,서울교통공사,서울특별시 동대문구 천호대로 지하405 (장안동)
144,사당,서울 도시철도 2호선,일반역,37.4767992,126.9816245,서울교통공사,서울특별시 동작구 남부순환로 지하 2089 (사당동)
145,신대방,서울 도시철도 2호선,일반역,37.48741288,126.9135942,서울교통공사,서울특별시 동작구 대림로 2 (신대방동)
146,사당,서울 도시철도 4호선,일반역,37.4767992,126.9814245,서울교통공사,"서울특별시 동작구 동작대로 3(사당동,사당역(4호선))"
147,총신대입구,서울 도시철도 4호선,일반역,37.48678247,126.981945,서울교통공사,서울특별시 동작구 동작대로 지하 117 (사당동)
148,남성,서울 도시철도 7호선,일반역,37.48453469,126.9712351,서울교통공사,서울특별시 동작구 사당로 지하218 (사당동)
149,이수,서울 도시철도 7호선,일반역,37.48658247,126.981745,서울교통공사,서울특별시 동작구 사당로 지하310 (사당동)
150,숭실대입구,서울 도시철도 7호선,일반역,37.4961804,126.9534722,서울교통공사,서울특별시 동작구 상도로 지하 378
151,장승배기,서울 도시철도 7호선,일반역,37.50482108,126.9388623,서울교통공사,서울특별시 동작구 상도로 지하188(상도동)
152,보라매,서울 도시철도 7호선,일반역,37.49989004,126.9203052,서울교통공사,서울특별시 동작구 상도로 지하2(대방동)
153,상도,서울 도시철도 7호선,일반역,37.50285237,126.9477417,서울교통공사,서울특별시 동작구 상도로 지하272(상도1동)
154,신대방삼거리,서울 도시철도 7호선,일반역,37.49968797,126.9280519,서울교통공사,서울특별시 동작구 상도로 지하76 (대방동)
155,동작,서울 도시철도 4호선,일반역,37.50300413,126.9790224,서울교통공사,서울특별시 동작구 현충로 257 (동작동)
156,대흥,서울 도시철도 6호선,일반역,37.54766489,126.9422206,서울교통공사,서울특별시 마포구 대흥로 지하 85
157,광흥창,서울 도시철도 6호선,일반역,37.54746977,126.9318177,서울교통공사,서울특별시 마포구 독막로 지하 165
158,상수,서울 도시철도 6호선,일반역,37.54776978,126.9225838,서울교통공사,서울특별시 마포구 독막로 지하85 (상수동)
159,공덕,서울 도시철도 5호선,일반역,37.54412449,126.9513584,서울교통공사,서울특별시 마포구 마포대로 지하100(공덕동)
160,애오개,서울 도시철도 5호선,일반역,37.5535295,126.9566133,서울교통공사,서울특별시 마포구 마포대로 지하210 (아현동)
161,마포,서울 도시철도 5호선,일반역,37.53956668,126.9457536,서울교통공사,서울특별시 마포구 마포대로 지하33 (도화동)
162,공덕,서울 도시철도 6호선,일반역,37.54354807,126.9518977,서울교통공사,서울특별시 마포구 백범로 지하 200(공덕동)
163,이대,서울 도시철도 2호선,일반역,37.55672128,126.945801,서울교통공사,서울특별시 마포구 신촌로 지하 180 (염리동)
164,아현,서울 도시철도 2호선,일반역,37.55721977,126.9561295,서울교통공사,서울특별시 마포구 신촌로 지하 270 (아현동)
165,신촌,서울 도시철도 2호선,일반역,37.55544179,126.9368826,서울교통공사,서울특별시 마포구 신촌로 지하 90 (노고산동)
